ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol,absLFC
ENSG00000287010.1,0.987847678,-1.662363812,0.922413294,0.008119265,0.020734395,AC130467.1,1.662363812
ENSG00000251787.1,0.585757785,-1.662142828,0.800046333,0.010281604,0.025442679,RNU7-47P,1.662142828
ENSG00000260166.2,1.738233338,-1.662012603,0.659081304,0.001421459,0.004470466,AC134312.3,1.662012603
ENSG00000237413.5,1.253664808,-1.66183894,0.809170588,0.006599703,0.01734315,MGC27382,1.66183894
ENSG00000107611.16,228.6570528,-1.661760201,0.18420334,3.34E-20,1.31E-18,CUBN,1.661760201
ENSG00000241111.1,5.591866899,-1.661555149,0.430106484,1.98E-05,9.41E-05,PRICKLE2-AS1,1.661555149
ENSG00000258927.2,1.178946347,1.661202625,0.866372538,0.007236542,0.018766854,AL133467.2,1.661202625
ENSG00000183888.4,431.0201103,1.661171648,0.503051068,0.000147276,0.000583872,SRARP,1.661171648
ENSG00000162755.14,405.7292235,1.659937833,0.211961749,9.58E-16,2.23E-14,KLHDC9,1.659937833
ENSG00000234264.1,1.861766581,1.659854404,0.644829563,0.001535791,0.004786356,DEPDC1-AS1,1.659854404
ENSG00000287961.1,0.956066715,1.659692467,0.955475006,0.010877339,0.026741685,AC020911.3,1.659692467
ENSG00000220105.2,1.420113196,-1.659553851,0.513121992,0.000175793,0.000684289,AL353151.1,1.659553851
ENSG00000241186.10,10.02375164,-1.659546945,0.434792376,1.89E-05,9.00E-05,TDGF1,1.659546945
ENSG00000253120.1,9.681215314,-1.659301656,0.437025159,2.39E-05,0.000111765,IGLV2-34,1.659301656
ENSG00000224698.1,1.476438332,1.65920015,0.709723118,0.003214889,0.009231321,AL390038.1,1.65920015
ENSG00000269918.1,96.17952296,-1.659145667,0.240314387,9.33E-13,1.47E-11,AF131215.6,1.659145667
ENSG00000262115.1,10.00571331,-1.65882972,0.264440398,6.44E-11,7.76E-10,AC027601.2,1.65882972
ENSG00000222585.1,2.664686203,-1.658755974,0.462475274,6.25E-05,0.000268368,RNA5SP494,1.658755974
ENSG00000170819.5,16.04737813,1.65854692,0.447015073,3.36E-05,0.000152605,BFSP2,1.65854692
ENSG00000259361.7,0.667199636,1.658048163,0.789797027,0.006958158,0.01815035,LINC00927,1.658048163
ENSG00000250634.6,4.154186138,-1.657890302,0.345253753,3.15E-07,2.09E-06,LINC01182,1.657890302
ENSG00000227508.6,7.679302619,-1.657853428,0.314450449,2.13E-08,1.71E-07,LINC01624,1.657853428
ENSG00000213366.13,664.0062615,-1.657499447,0.248262967,4.39E-12,6.27E-11,GSTM2,1.657499447
ENSG00000220323.4,119.7937557,1.65740343,0.228327129,7.22E-14,1.31E-12,H2BC19P,1.65740343
ENSG00000225208.1,9.656951133,1.657252423,0.525467498,0.000250549,0.000942054,AL133387.1,1.657252423
ENSG00000270120.1,4.483680827,1.657194117,0.514513996,0.000225708,0.000856274,AC007728.3,1.657194117
ENSG00000112996.11,6099.8618,1.65715428,0.275264425,3.54E-10,3.81E-09,MRPS30,1.65715428
ENSG00000207087.1,2.350048979,-1.657138346,0.405517184,8.56E-06,4.35E-05,RNU6-242P,1.657138346
ENSG00000232316.2,9.092721005,-1.656973421,0.45740902,5.09E-05,0.000222877,LINC02518,1.656973421
ENSG00000213420.8,93.25211501,1.656788569,0.355237453,5.30E-07,3.38E-06,GPC2,1.656788569
ENSG00000227082.3,48.67882373,-1.656388949,0.326032861,6.70E-08,4.98E-07,LINC02798,1.656388949
ENSG00000233554.6,96.81759297,-1.655841533,0.240038729,9.44E-13,1.49E-11,B4GALT1-AS1,1.655841533
ENSG00000287647.1,22.7268844,-1.655784005,0.480780883,9.09E-05,0.000377332,AC093575.1,1.655784005
ENSG00000215278.4,0.645184913,-1.655656738,0.698460917,0.003880137,0.010888443,RPS7P6,1.655656738
ENSG00000112796.10,1807.745061,1.655352251,0.260603219,0.000466631,0.001650414,ENPP5,1.655352251
ENSG00000053524.12,39.96250452,-1.655246498,0.249355519,0.001250923,0.003995224,MCF2L2,1.655246498
