ENSG,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,absLFC,ENSG_base
ENSG00000257137.7,1.036720655,1.595223754,0.721637319,0.00423244,0.011747839,LINC02874,1.595223754,ENSG00000257137
ENSG00000171903.16,425.5893257,1.195964601,0.499764696,0.004234771,0.011752649,CYP4F11,1.195964601,ENSG00000171903
ENSG00000265787.2,17.22770941,1.009890369,0.402349917,0.004277405,0.01185197,CYP4F35P,1.009890369,ENSG00000265787
ENSG00000254294.1,2.445476934,1.004101334,0.394300151,0.004277498,0.01185197,IMPDH1P6,1.004101334,ENSG00000254294
ENSG00000286179.1,6.176247264,1.085918893,0.441320088,0.004286926,0.011875581,AL139351.2,1.085918893,ENSG00000286179
ENSG00000233719.4,3.276327657,1.067427071,0.43167215,0.004305861,0.011919628,GOT2P3,1.067427071,ENSG00000233719
ENSG00000257241.1,1.436700806,1.500369808,0.669104041,0.00430631,0.011920032,AC078922.1,1.500369808,ENSG00000257241
ENSG00000223387.6,13.63553914,1.112969899,0.455260367,0.004307424,0.011922275,LINC02068,1.112969899,ENSG00000223387
ENSG00000265646.2,1.688438307,1.389914382,0.613121932,0.00433718,0.011995339,TUFMP1,1.389914382,ENSG00000265646
ENSG00000236289.4,3.640014557,1.081457994,0.439094138,0.004353078,0.012037612,GACAT3,1.081457994,ENSG00000236289
ENSG00000203446.2,11.83654236,1.085953953,0.442440216,0.00435512,0.01203987,SUGCT-AS1,1.085953953,ENSG00000203446
ENSG00000134640.3,1.098252903,4.681362121,1.336385853,0.004387064,0.012118798,MTNR1B,4.681362121,ENSG00000134640
ENSG00000260156.1,1.58113002,1.218048794,0.511644232,0.004398416,0.012143326,AC020763.1,1.218048794,ENSG00000260156
ENSG00000196350.9,14.23971887,1.448234131,0.655231139,0.004417689,0.012190537,ZNF729,1.448234131,ENSG00000196350
ENSG00000231715.1,1.099747767,1.313636372,0.559727663,0.004423497,0.012203522,COX6CP2,1.313636372,ENSG00000231715
ENSG00000228159.2,1.033634243,6.842688119,2.883000529,0.004433155,0.012227205,LINC01674,6.842688119,ENSG00000228159
ENSG00000286785.1,6.557768286,1.1909938900000001,0.500639077,0.00445804,0.012287214,LINC01622,1.1909938900000001,ENSG00000286785
ENSG00000253258.1,1.020243312,2.076286697,0.9814263,0.004475942,0.012329634,AC068228.1,2.076286697,ENSG00000253258
ENSG00000251273.4,4.37583851,4.763637668,0.753316329,0.004489801,0.012362591,LINC02228,4.763637668,ENSG00000251273
ENSG00000256385.1,0.709510572,1.448915481,0.652827548,0.004507777,0.012404893,UBE2NP1,1.448915481,ENSG00000256385
ENSG00000175336.10,32.75408384,1.216010491,0.516728067,0.004510878,0.012411076,APOF,1.216010491,ENSG00000175336
ENSG00000250310.2,1.49760604,1.596476846,0.738907853,0.00453184,0.012460021,AC006487.2,1.596476846,ENSG00000250310
ENSG00000261294.1,2.241228611,2.332319563,0.938365033,0.004544902,0.012492439,AC120498.6,2.332319563,ENSG00000261294
ENSG00000244332.1,0.743514617,1.907312506,0.825793631,0.004571682,0.012556385,AL138759.1,1.907312506,ENSG00000244332
ENSG00000230849.2,3.801098674,1.12256143,0.47001174,0.004577552,0.012570748,GOT2P2,1.12256143,ENSG00000230849
ENSG00000267526.1,1.069783115,1.5972564,0.714651345,0.004582814,0.01258344,AC005702.2,1.5972564,ENSG00000267526
ENSG00000287786.1,0.886502431,1.629691213,0.763735835,0.004597197,0.012615877,AC113615.2,1.629691213,ENSG00000287786
ENSG00000196844.9,2.588962349,1.264068281,0.550393403,0.004601633,0.012626287,PATE2,1.264068281,ENSG00000196844
ENSG00000184560.8,0.665880975,2.030459355,0.916154011,0.004614095,0.012656061,SPEM2,2.030459355,ENSG00000184560
ENSG00000120251.21,327.9695468,3.305186109,0.639386132,0.00466812,0.0127855,GRIA2,3.305186109,ENSG00000120251
ENSG00000267567.1,1.787239458,1.05181041,0.431194127,0.004672294,0.012794256,AC008736.2,1.05181041,ENSG00000267567
ENSG00000250563.1,1.050641369,4.571615065,1.40936461,0.004683554,0.012821513999999999,KNOP1P5,4.571615065,ENSG00000250563
ENSG00000229028.2,14.21417798,2.786190144,0.625542328,0.004691136,0.012836009,KRT223P,2.786190144,ENSG00000229028
ENSG00000212901.4,1.498698633,1.608653648,0.746250019,0.004728587,0.012927678,KRTAP3-1,1.608653648,ENSG00000212901
ENSG00000228928.1,1.199407067,5.965147209,0.907091427,0.004758437,0.013001142,KPNA2P2,5.965147209,ENSG00000228928
ENSG00000261481.1,1.908019775,1.437591225,0.669294504,0.004770071,0.013032024,AC022167.4,1.437591225,ENSG00000261481
ENSG00000251537.4,5.184463189,1.141086538,0.481203573,0.004812481,0.0131351,AC005324.2,1.141086538,ENSG00000251537
ENSG00000121853.4,0.949672952,2.296948349,1.108229249,0.004844261,0.013212661,GHSR,2.296948349,ENSG00000121853
ENSG00000266036.1,1.5685110309999999,1.370949137,0.617891141,0.004862093,0.013254856,AC016888.1,1.370949137,ENSG00000266036
ENSG00000254948.1,0.893781229,1.844508049,0.814410223,0.004910974,0.013370483,OR7E158P,1.844508049,ENSG00000254948
ENSG00000230191.1,5.243853196,1.119796857,0.468553072,0.004913233,0.01337478,IFITM3P4,1.119796857,ENSG00000230191
ENSG00000226423.1,2.525424604,1.809024361,0.92515927,0.004920721,0.013391451,AC093642.1,1.809024361,ENSG00000226423
ENSG00000144130.11,2.832242701,1.394078289,0.63011984,0.004931037,0.013414879,NT5DC4,1.394078289,ENSG00000144130
ENSG00000274944.4,1.670058113,1.07545417,0.444151767,0.004944445,0.01344577,AL139260.3,1.07545417,ENSG00000274944
ENSG00000267466.1,6.764313067,1.214115187,0.266165963,0.004989706,0.013552901,AC021683.1,1.214115187,ENSG00000267466
ENSG00000204603.7,11.55345614,1.193340808,0.512604533,0.005004446,0.013587302,LINC01257,1.193340808,ENSG00000204603
ENSG00000229465.1,1.515533966,1.012447778,0.411955531,0.005021588,0.013622731,ACTG1P11,1.012447778,ENSG00000229465
ENSG00000184210.6,3.199255118,1.17643766,0.496108252,0.005078655,0.013765948,DGAT2L6,1.17643766,ENSG00000184210
ENSG00000174792.11,4.399230809,1.007161514,0.411530217,0.005084538,0.013779991,ODAPH,1.007161514,ENSG00000174792
ENSG00000255427.1,3.956162883,1.345280714,0.600308428,0.005096188,0.013807757,LINC02707,1.345280714,ENSG00000255427
ENSG00000184956.16,1960.159589,1.478556622,0.691730539,0.005096683,0.013808146,MUC6,1.478556622,ENSG00000184956
ENSG00000256870.3,69.16491963,1.512063896,0.72020044,0.005111713,0.013842764,SLC5A8,1.512063896,ENSG00000256870
ENSG00000253653.1,1.775024239,1.214263101,0.525630619,0.005146638,0.013926197,AC009185.1,1.214263101,ENSG00000253653
ENSG00000253366.3,3.566993765,1.714939917,0.865397579,0.005162663,0.01396475,GUSBP16,1.714939917,ENSG00000253366
ENSG00000128683.14,35.39846925,2.198248703,0.428374344,0.00520382,0.014063488,GAD1,2.198248703,ENSG00000128683
