ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-8863678,Neurodegenerative Diseases,4/428,20/11230,0.2,5.247663551401869,3.7844488552243822,0.006202085934246469,0.02777572105897449,0.020879980776818876,CDC25C/CDC25A/CDK5/CDK5R1,4
R-HSA-186797,Signaling by PDGF,7/428,58/11230,0.1206896551724138,3.1666935223976798,3.2929592558202754,0.006244279794517434,0.02784466397641036,0.020931807578639876,SPP1/COL5A1/COL5A2/COL3A1/STAT1/THBS2/COL6A3,7
R-HSA-4615885,SUMOylation of DNA replication proteins,6/428,45/11230,0.13333333333333333,3.4984423676012457,3.3427041265787185,0.006838727315152102,0.030365118292491597,0.022826521222864868,TOP2A/AURKB/AURKA/CDCA8/BIRC5/NUP210,6
R-HSA-2022870,CS-GAG biosynthesis,4/428,21/11230,0.19047619047619047,4.997774810858923,3.649932887342085,0.007434698612346055,0.03287085897118107,0.024710174111358448,BGN/VCAN/CHST11/CHPF,4
R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,7/428,60/11230,0.11666666666666667,3.0611370716510904,3.186370349867094,0.007517231017184966,0.03309492807989483,0.024878614695589853,CDC6/UBE2C/CCNE2/CCNE1/CCNA2/PSMD3/UBE2S,7
R-HSA-1592389,Activation of Matrix Metalloproteinases,5/428,33/11230,0.15151515151515152,3.9755026904559614,3.40727209978051,0.007721829645230258,0.03385224051221197,0.02544791293253765,MMP1/MMP11/MMP13/MMP9/MMP14,5
R-HSA-449147,Signaling by Interleukins,28/428,454/11230,0.06167400881057269,1.6182222405204,2.676603852752264,0.008259359590842669,0.03605661602893081,0.027105019090691112,MMP1/CCL11/CXCL10/H3C12/FN1/IL21/H3C10/IL21R/IL12B/MMP9/H3C2/IL9R/CD80/H3C8/MUC1/H3C3/COL1A2/H3C7/BIRC5/PSMD3/H3C13/SDC1/NOD2/STAT1/STX1A/PSME2/CFL1/BLNK,28
R-HSA-69231,Cyclin D associated events in G1,6/428,47/11230,0.1276595744680851,3.349572479618214,3.2129128991514238,0.008459513389389647,0.03662264338156601,0.027530521644417192,CCNE2/CCNE1/E2F1/E2F2/CDKN2A/PTK6,6
R-HSA-69236,G1 Phase,6/428,47/11230,0.1276595744680851,3.349572479618214,3.2129128991514238,0.008459513389389647,0.03662264338156601,0.027530521644417192,CCNE2/CCNE1/E2F1/E2F2/CDKN2A/PTK6,6
R-HSA-113510,E2F mediated regulation of DNA replication,4/428,22/11230,0.18181818181818182,4.770603228547154,3.5236961608855193,0.008818350055132047,0.03801770003021658,0.02857923450931636,CDK1/E2F1/ORC1/CCNB1,4
R-HSA-373755,Semaphorin interactions,7/428,63/11230,0.1111111111111111,2.9153686396677045,3.0345530068615005,0.009772960806830742,0.041959116852467525,0.03154213535740936,ERBB2/RND1/PLXNA3/SEMA7A/CDK5/CDK5R1/CFL1,7
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,14/428,182/11230,0.07692307692307693,2.0183321351545653,2.756916731035244,0.009817327257156144,0.041976144115988615,0.031554935346804674,TOP2A/AURKB/AURKA/CDCA8/CBX2/H4C14/BIRC5/CDKN2A/BLM/H4C9/NUP210/BRCA1/PARP1/DNMT1,14
