symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj,mean_tumor,mean_normal,log2FC_tcga,tcga_validated
SYCP2,ENSG00000196074,1.548979808,5.9e-7,1.514544003,0.027975794,1.532,5.9e-7,745.674,289.414,1.362,YES
LMNB2,ENSG00000176619,1.365313288,1.22e-15,1.741422321,0.026994305,1.553,1.22e-15,1587.058,619.056,1.357,YES
EIF4EBP1,ENSG00000187840,1.270356771,5.33e-7,1.516158255,0.033927709,1.393,5.33e-7,1185.719,465.498,1.347,YES
FNDC1,ENSG00000164694,2.161179368,4.48e-7,3.38155569,4.23105e-4,2.771,4.48e-7,1652.574,651.33,1.342,YES
ZNF469,ENSG00000225614,1.68336144,8.61e-12,1.790402282,1.54687e-4,1.737,8.61e-12,589.373,233.959,1.329,YES
PLAU,ENSG00000122861,1.731463418,4.92e-13,2.681673069,2.97e-11,2.207,4.92e-13,2047.786,815.614,1.327,YES
CHST11,ENSG00000171310,1.146905085,3.41e-9,1.763254942,5.44e-5,1.455,3.41e-9,190.304,75.877,1.315,YES
MMP14,ENSG00000157227,1.66496751,1.36e-18,2.038663127,0.010178817,1.852,1.36e-18,9771.058,3937.009,1.311,YES
CKAP2,ENSG00000136108,1.13874624,1.76e-12,1.383385164,0.00176856,1.261,1.76e-12,814.921,328.239,1.309,YES
SLC35A2,ENSG00000102100,1.307208913,3.97e-33,1.029244736,0.013194476,1.168,3.97e-33,1170.452,477.144,1.293,YES
MICB,ENSG00000204516,1.522447998,6.77e-12,1.500519595,0.007740657,1.511,6.77e-12,203.509,82.576,1.291,YES
PCDH17,ENSG00000118946,1.38672978,6.14e-10,3.020539042,5.63e-6,2.204,6.14e-10,223.569,90.839,1.29,YES
TTYH3,ENSG00000136295,1.099697197,3.79e-9,1.850091749,0.001934317,1.475,3.79e-9,2288.709,938.479,1.285,YES
OSCAR,ENSG00000170909,1.112190588,1.81e-5,2.475972635,0.001493684,1.794,1.81e-5,111.533,45.2,1.284,YES
CMPK2,ENSG00000134326,1.145605028,1.64567e-4,1.826641869,0.034031153,1.486,1.64567e-4,401.272,164.518,1.281,YES
IER3,ENSG00000137331,1.081952923,8.61e-5,1.543115462,0.049068405,1.313,8.61e-5,2964.902,1222.732,1.277,YES
WDR76,ENSG00000092470,1.29022686,1.31e-14,1.311649187,0.004358544,1.301,1.31e-14,273.307,112.865,1.268,YES
PGP,ENSG00000184207,1.143594001,9.08e-8,1.14573823,0.00277033,1.145,9.08e-8,490.823,203.516,1.266,YES
CENPO,ENSG00000138092,1.120499327,1.1799999999999999e-23,1.267276874,0.004863189,1.194,1.1799999999999999e-23,158.506,65.45,1.263,YES
LRRC59,ENSG00000108829,1.732918506,3.33e-14,1.402969587,0.02006452,1.568,3.33e-14,4687.351,1958.074,1.259,YES
CTSD,ENSG00000117984,1.161992969,3.07e-6,1.495254136,0.008487316,1.329,3.07e-6,28497.428,11940.412,1.255,YES
STARD3,ENSG00000131748,1.55518119,1.49e-8,2.101135854,0.035583517,1.828,1.49e-8,1678.417,703.054,1.254,YES
CDK5R1,ENSG00000176749,1.391876879,4.42e-8,1.168748396,0.005181264,1.28,4.42e-8,137.92,57.451,1.249,YES
HYAL3,ENSG00000186792,1.15880264,1.38e-8,1.070123389,0.037718534,1.114,1.38e-8,106.829,44.494,1.245,YES
NFE2L3,ENSG00000050344,1.087086456,2.55e-7,1.63644633,0.001033125,1.362,2.55e-7,668.371,282.192,1.241,YES
OLFML2B,ENSG00000162745,1.424127786,4.15e-9,3.728733858,7.42891e-4,2.576,4.15e-9,1575.035,667.525,1.237,YES
WDHD1,ENSG00000198554,1.444326768,5.34e-18,1.316506104,5.06e-5,1.38,5.34e-18,315.262,133.36,1.235,YES
FKBP10,ENSG00000141756,1.304841043,1.12e-9,1.511220639,0.009008177,1.408,1.12e-9,3364.782,1434.69,1.229,YES
PSME2,ENSG00000100911,1.537548658,2.81e-14,1.063319771,0.001407525,1.3,2.81e-14,2624.957,1120.674,1.227,YES
RUNX2,ENSG00000124813,1.442914772,1.22e-9,1.634641851,4.39e-5,1.539,1.22e-9,422.311,179.954,1.226,YES
LPCAT1,ENSG00000153395,1.379267198,1.54e-13,2.255756047,3.50406e-4,1.818,1.54e-13,2130.773,911.498,1.224,YES
ZNF668,ENSG00000167394,1.045051777,5.17e-15,1.210994012,8.05731e-4,1.128,5.17e-15,342.829,146.308,1.223,YES
INTS7,ENSG00000143493,1.334648277,3.29e-22,1.002739402,0.005106187,1.169,3.29e-22,908.905,389.309,1.221,YES
FLAD1,ENSG00000160688,1.253176095,1.27e-26,1.252117269,6.06136e-4,1.253,1.27e-26,1346.8,579.481,1.215,YES
GK,ENSG00000198814,1.126348818,4.29e-13,1.231839243,1.16544e-4,1.179,4.29e-13,188.113,80.767,1.21,YES
TG,ENSG00000042832,1.22535591,4.15e-6,2.413705818,0.042721113,1.82,4.15e-6,11.424,4.377,1.208,YES
LRWD1,ENSG00000161036,1.158335522,1.37e-14,1.24011508,0.015910435,1.199,1.37e-14,379.939,165.025,1.198,YES
ISG20,ENSG00000172183,1.092117633,3.82e-6,1.274639381,0.005998056,1.183,3.82e-6,415.94,180.905,1.197,YES
TCF19,ENSG00000137310,1.293289201,4.19e-15,1.29072508,0.035679056,1.292,4.19e-15,693.469,303.468,1.19,YES
SDSL,ENSG00000139410,1.178146594,4.64e-8,1.22528962,0.047461581,1.202,4.64e-8,336.994,147.109,1.19,YES
DBF4,ENSG00000006634,1.201409362,1.76e-16,1.405546454,0.003793452,1.303,1.76e-16,313.709,137.833,1.181,YES
ATP6AP1,ENSG00000071553,1.323347953,7.05e-24,1.115866089,0.001380915,1.22,7.05e-24,6338.156,2797.72,1.18,YES
BCL9,ENSG00000116128,1.504736218,4.0699999999999995e-30,1.190821934,0.007437156,1.348,4.0699999999999995e-30,1394.057,615.308,1.179,YES
ENTPD7,ENSG00000198018,1.136004764,3.94e-15,1.187658974,4.61e-6,1.162,3.94e-15,547.39,241.459,1.177,YES
S100A11,ENSG00000163191,1.256471669,7.67e-9,1.546399801,0.001090464,1.401,7.67e-9,10825.637,4795.249,1.175,YES
BAX,ENSG00000087088,1.129440911,9.21e-15,1.128937819,0.017057132,1.129,9.21e-15,706.908,312.708,1.174,YES
FOXS1,ENSG00000179772,1.372331296,4.41e-6,2.139115975,0.002141985,1.756,4.41e-6,68.309,29.939,1.164,YES
PARP1,ENSG00000143799,1.232552048,1.19e-18,1.300341571,1.86e-5,1.266,1.19e-18,6095.462,2733.549,1.157,YES
SYNGR2,ENSG00000108639,1.006307174,1.94e-11,1.199426995,0.004815774,1.103,1.94e-11,5880.993,2636.539,1.157,YES
SEPHS2,ENSG00000179918,1.220840529,2.93e-19,1.024081537,0.001173187,1.122,2.93e-19,3217.924,1444.865,1.155,YES
AEBP1,ENSG00000106624,1.510571358,1.38e-9,1.325823644,0.023324184,1.418,1.38e-9,15530.894,6982.135,1.153,YES
STAT1,ENSG00000115415,1.303860812,7.32e-8,1.907488578,1.50585e-4,1.606,7.32e-8,8162.352,3678.031,1.15,YES
PARP10,ENSG00000178685,1.270282969,1.63e-7,1.097826989,0.020889489,1.184,1.63e-7,1838.565,827.961,1.15,YES
SLC25A39,ENSG00000013306,1.037367189,2.48e-13,1.155440366,0.039543814,1.096,2.48e-13,3094.855,1394.762,1.149,YES
FCGR3A,ENSG00000203747,1.495046618,8.26e-8,2.900251463,2.81e-6,2.198,8.26e-8,1917.544,871.74,1.136,YES
ADAMTS7,ENSG00000136378,1.188103122,5.8e-7,1.34896474,0.023481696,1.269,5.8e-7,206.749,93.606,1.135,YES
HLA-DQB1,ENSG00000179344,1.134566816,1.00865e-4,2.091728604,2.54e-7,1.613,2.54e-7,2486.799,1132.422,1.134,YES
PASK,ENSG00000115687,1.204582041,1.27e-10,1.02576281,0.047461581,1.115,1.27e-10,335.23,152.487,1.131,YES
TDRKH,ENSG00000182134,1.083319421,1.07e-20,1.312960069,1.75e-5,1.198,1.07e-20,564.466,257.617,1.129,YES
FANCB,ENSG00000181544,1.003938504,5.01e-7,1.210251128,0.001897842,1.107,5.01e-7,31.927,14.053,1.129,YES
NCAPG2,ENSG00000146918,1.346692924,1.23e-14,1.742381182,0.009066469,1.545,1.23e-14,736.296,336.724,1.126,YES
SEMA3F,ENSG00000001617,1.132399522,1.73e-12,1.10565167,0.002467656,1.119,1.73e-12,2186.085,1003.212,1.123,YES
NUDT1,ENSG00000106268,1.079571546,8.08e-11,1.379456923,0.027402101,1.23,8.08e-11,285.577,131.058,1.118,YES
GAS2L3,ENSG00000139354,1.186321494,5.32e-10,2.419826396,1.28e-6,1.803,5.32e-10,64.578,29.238,1.117,YES
PDIA4,ENSG00000155660,1.178024535,2.59e-17,1.368187434,0.044366816,1.273,2.59e-17,5429.057,2504.878,1.116,YES
HMX3,ENSG00000188620,2.954388906,2.24e-5,3.649661145,0.034857152,3.302,2.24e-5,1.756,0.273,1.115,YES
ST6GAL2,ENSG00000144057,1.72730085,1.05e-6,2.671510959,4.34e-10,2.199,4.34e-10,250.712,115.211,1.115,YES
IFITM1,ENSG00000185885,1.619455872,8.45e-8,1.27208176,0.047020795,1.446,8.45e-8,6178.084,2855.911,1.113,YES
RMI1,ENSG00000178966,1.345065423,3.48e-23,1.038089606,0.001268908,1.192,3.48e-23,449.64,207.305,1.113,YES
THBS2,ENSG00000186340,1.519747271,3.7e-7,1.612690265,0.018483125,1.566,3.7e-7,7719.327,3572.495,1.111,YES
SLC20A1,ENSG00000144136,1.173045934,1.2199999999999999e-23,1.24038502,0.003842994,1.207,1.2199999999999999e-23,1663.214,770.505,1.109,YES
PLXNA3,ENSG00000130827,1.423528612,1.26e-12,1.875620776,1.56e-5,1.65,1.26e-12,1349.581,628.676,1.101,YES
USP35,ENSG00000118369,1.027439006,8.43e-5,2.092335022,0.04107409,1.56,8.43e-5,306.087,142.268,1.1,YES
GPC4,ENSG00000076716,1.445731885,3.73e-8,1.664340676,6.14968e-4,1.555,3.73e-8,1313.76,616.119,1.091,YES
APOBEC3H,ENSG00000100298,1.358436237,1.91e-5,2.467470754,0.004523104,1.913,1.91e-5,10.63,4.483,1.085,YES
KDELR3,ENSG00000100196,1.014018388,4.02e-6,2.269270904,1.8658e-4,1.642,4.02e-6,898.901,423.746,1.083,YES
MICALL2,ENSG00000164877,1.023267235,3.37e-5,1.219908772,0.043140225,1.122,3.37e-5,511.119,242.215,1.074,YES
ABCC5,ENSG00000114770,1.132206054,3.31e-10,1.171952905,7.0485e-4,1.152,3.31e-10,1669.786,793.906,1.072,YES
SULF2,ENSG00000196562,1.185816138,5.84e-11,1.200503835,6.07776e-4,1.193,5.84e-11,5586.647,2661.133,1.07,YES
MXRA5,ENSG00000101825,1.400613244,4.49e-11,1.854439578,0.002094055,1.628,4.49e-11,8424.87,4022.13,1.067,YES
LPAR2,ENSG00000064547,1.007345374,7.13e-7,1.138508473,9.10613e-4,1.073,7.13e-7,451.673,215.208,1.066,YES
KNTC1,ENSG00000184445,1.122986305,1.68e-17,1.232534683,4.87446e-4,1.178,1.68e-17,611.779,292.095,1.064,YES
TFRC,ENSG00000072274,1.047553276,1.29e-5,1.218044753,3.32661e-4,1.133,1.29e-5,3460.785,1669.163,1.052,YES
ITGA11,ENSG00000137809,1.461105059,4.98e-7,1.994397788,8.69e-7,1.728,4.98e-7,1583.519,764.243,1.05,YES
SCIN,ENSG00000006747,2.334235374,0.006592564,2.048938634,0.018033853,2.192,0.006592564,324.461,156.592,1.046,YES
BRCA1,ENSG00000012048,1.072176857,3.18e-9,1.486913481,0.002721444,1.28,3.18e-9,428.391,206.977,1.046,YES
MAGED1,ENSG00000179222,1.023368177,7.52e-13,1.660207062,0.003457307,1.342,7.52e-13,6321.381,3064.571,1.044,YES
ASPHD2,ENSG00000128203,1.095208916,5.86e-8,1.27588534,0.005047713,1.186,5.86e-8,96.873,46.55,1.041,YES
SAMD1,ENSG00000141858,1.272801478,5.04e-17,1.003939934,0.02089579,1.138,5.04e-17,373.85,181.17,1.041,YES
TUBG1,ENSG00000131462,1.049785785,4.76e-12,1.612475726,0.001100154,1.331,4.76e-12,1137.006,553.456,1.037,YES
BCL3,ENSG00000069399,1.056174636,5.32e-9,1.519854213,0.008927993,1.288,5.32e-9,1261.809,618.471,1.028,YES
UBE2L6,ENSG00000156587,1.418966216,2.87e-9,1.114196908,0.013983273,1.267,2.87e-9,2540.403,1247.316,1.026,YES
SLC27A4,ENSG00000167114,1.131560275,6.1e-13,1.143805285,1.43672e-4,1.138,6.1e-13,1031.116,507.122,1.022,YES
BMP8B,ENSG00000116985,1.241364616,5.15e-6,2.729417966,0.002240154,1.985,5.15e-6,107.991,52.733,1.02,YES
RCC2,ENSG00000179051,1.102321759,7.36e-16,1.004751659,0.023210348,1.054,7.36e-16,5021.028,2485.216,1.014,YES
TOR3A,ENSG00000186283,1.021871807,5.78e-18,1.100991855,3.77816e-4,1.061,5.78e-18,1548.204,778.089,0.992,NO
DNMT1,ENSG00000130816,1.086966085,9.91e-17,1.164680406,0.015448443,1.126,9.91e-17,2154.619,1083.41,0.991,NO
POLD4,ENSG00000175482,1.010843162,2.35e-7,1.031652373,0.031235217,1.021,2.35e-7,1462.525,736.135,0.989,NO
CFL1,ENSG00000172757,1.141575872,4.16e-18,1.257037186,0.015600216,1.199,4.16e-18,18221.718,9196.391,0.986,NO
BAK1,ENSG00000030110,1.15089197,1.71e-11,1.097697035,0.017708104,1.124,1.71e-11,503.951,253.994,0.986,NO
COL8A1,ENSG00000144810,1.274329432,1.09191e-4,3.287221029,1.03e-16,2.281,1.03e-16,795.983,402.07,0.984,NO
THY1,ENSG00000154096,1.132301259,2.31e-5,2.39859653,0.001235302,1.765,2.31e-5,4034.677,2038.845,0.984,NO
TMSB10,ENSG00000034510,1.035202016,3.11e-8,1.154324305,0.031450858,1.095,3.11e-8,20635.175,10461.878,0.98,NO
MCM6,ENSG00000076003,1.124331854,9.15e-13,1.100266768,3.60823e-4,1.112,9.15e-13,1459.266,740.876,0.977,NO
GPR132,ENSG00000183484,1.054366874,1.36e-5,2.102208195,6.83e-5,1.578,1.36e-5,117.386,59.225,0.975,NO
CKAP4,ENSG00000136026,1.196568659,2.23e-18,1.622486079,0.021650754,1.41,2.23e-18,3280.477,1678.391,0.966,NO
SCO2,ENSG00000284194,1.279121843,0.004156404,1.1972908310000001,0.028286353,1.238,0.004156404,573.708,293.331,0.965,NO
EPPK1,ENSG00000261150,1.134387408,0.001355087,2.172995159,6.29212e-4,1.654,6.29212e-4,1101.748,571.219,0.946,NO
PSMB9,ENSG00000240065,1.050143015,3.98e-5,1.575797068,0.004632659,1.313,3.98e-5,685.646,357.358,0.938,NO
BLNK,ENSG00000095585,1.126830524,1.48e-7,1.134336296,0.004863189,1.131,1.48e-7,344.003,179.584,0.934,NO
GLIS2,ENSG00000126603,1.203284033,3.69e-11,1.41611508,0.023925498,1.31,3.69e-11,884.26,463.738,0.93,NO
SERPINH1,ENSG00000149257,1.070062869,1.47e-10,2.549922321,0.001771625,1.81,1.47e-10,5865.744,3121.551,0.91,NO
RAP2C,ENSG00000123728,1.27044169,2.02e-14,1.177222279,8.84379e-4,1.224,2.02e-14,1324.962,705.224,0.909,NO
ODF2,ENSG00000136811,1.283411292,3.0000000000000003e-21,1.067810882,6.68e-6,1.176,3.0000000000000003e-21,1382.58,737.735,0.905,NO
CD276,ENSG00000103855,1.0477354,5.15e-16,1.0387505,0.02815604,1.043,5.15e-16,2943.244,1579.482,0.898,NO
SFRP2,ENSG00000145423,1.326800376,1.56e-5,1.182702764,0.009004365,1.255,1.56e-5,10919.583,5981.999,0.868,NO
ADAR,ENSG00000160710,1.072417298,3.36e-16,1.022412771,0.002875082,1.047,3.36e-16,12301.238,6802.555,0.855,NO
ARID3A,ENSG00000116017,1.005196859,3.67e-8,1.276496147,0.036184829,1.141,3.67e-8,93.52,51.751,0.841,NO
CLTC,ENSG00000141367,1.37775243,4.6e-9,1.067357091,0.032296865,1.223,4.6e-9,17047.064,9618.369,0.826,NO
IFIH1,ENSG00000115267,1.065550258,1.6e-5,1.24580013,0.008798645,1.156,1.6e-5,1105.851,624.566,0.823,NO
COL6A3,ENSG00000163359,1.095775694,3.66e-5,1.760329141,0.028925486,1.428,3.66e-5,26108.328,14837.216,0.815,NO
ENAH,ENSG00000154380,1.043539458,9.4e-14,1.283581839,0.005636877,1.164,9.4e-14,5768.74,3286.592,0.811,NO
C1QTNF3,ENSG00000082196,1.282158496,2.04541e-4,1.919394041,0.002258577,1.601,2.04541e-4,568.907,325.408,0.804,NO
YJEFN3,ENSG00000250067,1.134942505,8.81e-5,1.95098223,0.028667671,1.543,8.81e-5,61.914,35.808,0.773,NO
RAI14,ENSG00000039560,1.035668589,4.29e-10,1.909922236,9.42064e-4,1.473,4.29e-10,1469.416,903.213,0.701,NO
SP110,ENSG00000135899,1.035766453,9.08e-7,1.217565887,0.004005575,1.127,9.08e-7,773.193,487.85,0.663,NO
PPT1,ENSG00000131238,1.061556916,3.68e-8,1.366306739,0.002375902,1.214,3.68e-8,6416.137,4078.916,0.653,NO
COL8A2,ENSG00000171812,1.068071665,4.95e-5,1.239606106,0.013225253,1.154,4.95e-5,1473.372,981.798,0.585,NO
PCK2,ENSG00000100889,1.072785778,2.6e-8,1.066477448,0.009005792,1.07,2.6e-8,1273.985,881.459,0.531,NO
EDIL3,ENSG00000164176,1.097217037,9.22322e-4,1.819777538,0.001850282,1.458,9.22322e-4,371.758,259.614,0.516,NO
GPR31,ENSG00000120436,1.241649657,1.20464e-4,4.671350729,0.011543958,2.957,1.20464e-4,1.355,0.674,0.492,NO
COL20A1,ENSG00000101203,4.770081008,4.98e-5,5.195449486,0.016284629,4.983,4.98e-5,0.62,0.169,0.471,NO
IL21,ENSG00000138684,1.245795645,1.21e-10,5.790427873,0.027067509,3.518,1.21e-10,0.402,0.07,0.39,NO
