"symbol","HR","HR_lower","HR_upper","pvalue","padj"
"PSMD3",1.0000118616872,0.99999510874157,1.0000286149135,0.165221866259638,0.523081858361541
"MUC1",0.999989448628064,0.999974539001093,1.00000435847734,0.16543372335411,0.523081858361541
"CDCA5",1.00018478359417,0.999920576733656,1.00044906026549,0.17046086541816,0.523081858361541
"CXCL10",0.999930864864622,0.999831991746934,1.00002974775985,0.17057699239688,0.523081858361541
"THBS2",1.00001455403334,0.999993729486191,1.00003537901415,0.170751935250134,0.523081858361541
"SLC39A11",1.00008494107234,0.999963333560492,1.00020656337311,0.171005169672247,0.523081858361541
"ZIC2",1.00098918485235,0.999568321948031,1.00241206747993,0.172503058619815,0.523081858361541
"GABRD",1.00130899869186,0.999428248693442,1.0031932879344,0.172648918016166,0.523081858361541
"CILP2",1.00022997322885,0.999898511937758,1.00056154439769,0.173897700800205,0.523081858361541
"PAQR4",0.999877637334226,0.999701195714728,1.00005411009467,0.17413505186177,0.523081858361541
"SLC39A4",1.00017275592331,0.999923496330189,1.00042207765153,0.17435180203427,0.523081858361541
"KPNA2",1.00003214329871,0.999985563800401,1.00007872496669,0.176212113387264,0.523081858361541
"FBXO43",0.994915150321996,0.98758455498097,1.00230015885507,0.176676222617248,0.523081858361541
"CHST11",0.999161171738561,0.997944328130575,1.00037949910503,0.177109935293906,0.523081858361541
"LMNB2",1.00010514781455,0.999952306417284,1.00025801257343,0.177551480653739,0.523081858361541
"BMP8B",1.00073349170366,0.999667207700288,1.0018009130471,0.177650151744234,0.523081858361541
"FOXP3",0.998844069414506,0.997154878658836,1.00053612167692,0.180468394303215,0.523081858361541
"ZNF367",1.00048284788328,0.999774606157288,1.00119159132869,0.181527644818491,0.523081858361541
"COL5A2",1.00001043474445,0.999995124401676,1.00002574532163,0.181612142274554,0.523081858361541
"COL1A2",1.00000087525958,0.99999959048713,1.00000216003368,0.18179848787017,0.523081858361541
"B4GALNT4",0.999739452738832,0.999356668139807,1.00012238395623,0.182320061680195,0.523081858361541
"AEBP1",1.00000796885423,0.99999623713301,1.00001970071309,0.183084782726338,0.523081858361541
"CKAP2",1.00018660711051,0.999911619016893,1.00046167082926,0.183526791268552,0.523081858361541
"CENPE",1.00025989278735,0.999876558981971,1.00064337355568,0.183935395702265,0.523081858361541
"LINGO1",1.00014028292892,0.999932887697944,1.00034772117557,0.184944832223641,0.523081858361541
"CDKN2A",0.999807407407551,0.999522552461826,1.00009234353438,0.185227489849998,0.523081858361541
"ARTN",1.0007585219918,0.999635946526544,1.00188235809167,0.185468943754439,0.523081858361541
"COL3A1",1.00000105685124,0.999999492456324,1.00000262124861,0.185475240614252,0.523081858361541
"TYMP",0.999928950193306,0.999823353803476,1.0000345577357,0.187292222268108,0.525255282561957
"FOXD3",0.993055168064371,0.982760491969998,1.00345768361378,0.189939987015451,0.527973704772423
"RAB31",1.00002215499253,0.999988895855372,1.00005541523588,0.191692539761834,0.527973704772423
"CREB3L1",1.00005711075701,0.999971279720847,1.00014294916035,0.192194860835101,0.527973704772423
"FNDC1",1.00004964702043,0.999974894137503,1.00012440549149,0.193022057660734,0.527973704772423
"PBK",1.00031274089652,0.999841355336226,1.00078434869642,0.193520242386705,0.527973704772423
"SULF2",0.999975171490346,0.999937559250943,1.00001278514452,0.195745994710391,0.530721962696875
"SYNGR2",0.999961748245953,0.999903686184403,1.00001981367903,0.196642002114778,0.530721962696875
"SLC16A3",1.00008998172902,0.999952674875962,1.00022730743613,0.199002407491415,0.534220366634707
"ADAMTSL2",1.00061897175593,0.999670555692407,1.00156828760891,0.200919936701352,0.536498979915313
"GAS2L3",1.00121932714375,0.999341586606921,1.00310059591315,0.203266297963267,0.539892495119364
"SLC2A6",0.99930685607467,0.998222794472441,1.00039209495873,0.210541527418017,0.556272877704444
"ESM1",1.00037532216758,0.999775521429991,1.00097548274687,0.220085974840724,0.57454665671519
"POSTN",1.00000427305024,0.999997441480229,1.00001110466693,0.220225721148739,0.57454665671519
"HPX",0.999875006057932,0.999674914915854,1.00007513724949,0.220891443717195,0.57454665671519
"HMX3",1.01523816020486,0.99077961068962,1.0403004975231,0.224185991275221,0.580110142371964
"ZBP1",0.999026060942828,0.997451739982083,1.00060286672202,0.225907773217199,0.581567703359147
"COL22A1",0.999755152932669,0.999356065616541,1.00015439962211,0.229330572983534,0.583748082451663
"GPR84",0.997763452062652,0.994126936041256,1.00141327045852,0.229409209613619,0.583748082451663
"RNASEH2A",1.00024201212476,0.999846675075467,1.00063750548941,0.230243267580536,0.583748082451663
"BST2",0.999972145816577,0.999926403888094,1.00001788983754,0.232689051364894,0.586984441131541
"SIM2",1.00029134631816,0.999806817784529,1.00077610966506,0.238633303212017,0.598969591062162
"FAM111B",1.00015879960711,0.999893992220508,1.00042367712411,0.239879407967792,0.599101804974287
"IFITM1",0.999984138616365,0.999957471311015,1.00001080663289,0.243720567260504,0.605649659071672
"S100P",1.00002227565362,0.999984728814551,1.00005982390247,0.244914105162449,0.605649659071672
"COL1A1",1.00000063694251,0.99999955946141,1.00000171442478,0.246613778917104,0.606863318707777
"KIF24",0.999152462293385,0.997712987438195,1.00059401398619,0.249044895926925,0.609468405242535
"LPCAT1",1.00005534664953,0.9999610289,1.00014967329524,0.250100580637375,0.609468405242535
"CENPM",1.00061860903905,0.999558594632289,1.00167974757254,0.252808593581103,0.613091371873013
"UHRF1",1.00023389330054,0.999831695473135,1.00063625291827,0.254412338685249,0.613776032787715
"APOBEC3H",0.99226544582399,0.979072836805004,1.00563581989394,0.255536236758232,0.613776032787715
"PACSIN1",1.00077110565375,0.99943856479653,1.0021054231736,0.256853187278692,0.614001428637636
"ATAD2",1.00005160382663,0.999961576144326,1.00014163961422,0.261255388884117,0.621564953648467
"TMEM132A",1.00003761056569,0.999971249439723,1.00010397609559,0.266652138213828,0.628032889905235
"TPRN",0.999835020719615,0.999543928279373,1.00012619793333,0.266751747169515,0.628032889905235
"ESPL1",1.00027478551137,0.999788899819489,1.00076090733801,0.267727168206614,0.628032889905235
"CCNA2",1.00015149455311,0.999879921167954,1.00042314169922,0.274270412023486,0.639941684153821
"FCGR1A",0.999157319095112,0.99764498630508,1.0006719444346,0.275353393978537,0.639941684153821
"NME1",0.999947317146289,0.999852158200862,1.00004248514828,0.277915106555699,0.642918817930695
"MND1",1.00106895794616,0.999133385605471,1.00300827997668,0.279270433912729,0.643090632221054
"POC1A",1.00053606947334,0.999562020039597,1.00151106809512,0.280840693130363,0.64375355228969
"TFR2",0.999012999833611,0.997211608811775,1.00081764493872,0.28354681380699,0.647002275141405
"LAGE3",1.00017556060785,0.999852989608787,1.00049823567427,0.28613436673493,0.649952271949931
