symbol,ENSG_base,log2FC_P1,padj_P1,log2FC_P2,padj_P2,mean_log2FC,min_padj
FLVCR1,ENSG00000162769,1.711238541,8.069999999999999e-32,1.308221899,0.029487923,1.51,8.069999999999999e-32
NUP210,ENSG00000132182,1.745653369,4.94e-16,1.264392444,0.004523104,1.505,4.94e-16
LRP8,ENSG00000157193,1.262496298,3.04e-6,1.741683532,0.029390356,1.502,3.04e-6
PDCD1,ENSG00000188389,1.077344386,0.005081975,1.925824244,0.019792529,1.502,0.005081975
RELL2,ENSG00000164620,1.409451533,4.21e-7,1.580221763,6.83264e-4,1.495,4.21e-7
HMGA1,ENSG00000137309,1.547188555,8.26e-12,1.439914839,0.005420446,1.494,8.26e-12
LOXL1,ENSG00000129038,1.629367537,4.01e-11,1.349592623,0.003731321,1.489,4.01e-11
CMPK2,ENSG00000134326,1.145605028,1.64567e-4,1.826641869,0.034031153,1.486,1.64567e-4
RUSC1,ENSG00000160753,1.633073264,6.749999999999999e-30,1.330926215,1.52709e-4,1.482,6.749999999999999e-30
SLC39A11,ENSG00000133195,1.540854233,2.59e-13,1.41503005,0.019567698,1.478,2.59e-13
KIF24,ENSG00000186638,1.685207665,7.04e-28,1.265968321,0.024998338,1.476,7.04e-28
TTYH3,ENSG00000136295,1.099697197,3.79e-9,1.850091749,0.001934317,1.475,3.79e-9
RAI14,ENSG00000039560,1.035668589,4.29e-10,1.909922236,9.42064e-4,1.473,4.29e-10
NME1,ENSG00000239672,1.593747099,8.22e-18,1.339986237,0.006902102,1.467,8.22e-18
MICAL2,ENSG00000133816,1.673138559,1.63e-17,1.253369253,0.006454265,1.463,1.63e-17
STX1A,ENSG00000106089,1.569930162,1.81e-10,1.34901953,0.036807071,1.459,1.81e-10
EDIL3,ENSG00000164176,1.097217037,9.22322e-4,1.819777538,0.001850282,1.458,9.22322e-4
CHST11,ENSG00000171310,1.146905085,3.41e-9,1.763254942,5.44e-5,1.455,3.41e-9
RNASEH2A,ENSG00000104889,1.53100656,3.71876e-4,1.378420191,0.017468849,1.455,3.71876e-4
PACC1,ENSG00000065600,1.145868165,2.83e-22,1.752888316,0.00109175,1.449,2.83e-22
CDC7,ENSG00000097046,1.289764809,5.62e-11,1.602056285,1.68e-5,1.446,5.62e-11
IFITM1,ENSG00000185885,1.619455872,8.45e-8,1.27208176,0.047020795,1.446,8.45e-8
CDK5,ENSG00000164885,1.292192117,5.87e-20,1.598268726,0.007893156,1.445,5.87e-20
BST2,ENSG00000130303,1.549260448,1.4e-7,1.339434412,0.039512063,1.444,1.4e-7
CDKN2B-AS1,ENSG00000240498,1.696036838,2.52e-12,1.184740632,0.006054833,1.44,2.52e-12
C21orf58,ENSG00000160298,1.488265761,2.92e-15,1.387027411,0.034038976,1.438,2.92e-15
RTKN2,ENSG00000182010,1.680473276,8.06e-13,1.194106183,0.002961248,1.437,8.06e-13
SUGCT,ENSG00000175600,1.320198966,3.41e-7,1.549184543,1.64886e-4,1.435,3.41e-7
CHTF18,ENSG00000127586,1.70518636,2.35e-12,1.157484027,0.00674996,1.431,2.35e-12
COL6A3,ENSG00000163359,1.095775694,3.66e-5,1.760329141,0.028925486,1.428,3.66e-5
GFUS,ENSG00000104522,1.755427406,1.75e-21,1.083486287,0.033218881,1.419,1.75e-21
AEBP1,ENSG00000106624,1.510571358,1.38e-9,1.325823644,0.023324184,1.418,1.38e-9
CHPF,ENSG00000123989,1.296170641,3.61e-15,1.527907255,6.30291e-4,1.412,3.61e-15
CKAP4,ENSG00000136026,1.196568659,2.23e-18,1.622486079,0.021650754,1.41,2.23e-18
FKBP10,ENSG00000141756,1.304841043,1.12e-9,1.511220639,0.009008177,1.408,1.12e-9
S100A11,ENSG00000163191,1.256471669,7.67e-9,1.546399801,0.001090464,1.401,7.67e-9
DONSON,ENSG00000159147,1.252281446,3.35e-16,1.546030363,0.002062316,1.399,3.35e-16
DDX39A,ENSG00000123136,1.390144734,6.06e-18,1.406051998,0.025995992,1.398,6.06e-18
EIF4EBP1,ENSG00000187840,1.270356771,5.33e-7,1.516158255,0.033927709,1.393,5.33e-7
TYMS,ENSG00000176890,1.607528751,2.48e-11,1.17640262,0.002042033,1.392,2.48e-11
PARPBP,ENSG00000185480,1.551622057,3.3700000000000003e-22,1.211219393,0.014910498,1.381,3.3700000000000003e-22
WDHD1,ENSG00000198554,1.444326768,5.34e-18,1.316506104,5.06e-5,1.38,5.34e-18
LINC00298,ENSG00000235665,1.148895208,0.004240688,1.601700196,0.02628918,1.375,0.004240688
ZNF726,ENSG00000213967,1.20450278,3.89e-9,1.541833465,0.002647732,1.373,3.89e-9
RASGRP1,ENSG00000172575,1.486967179,1.77e-6,1.24324405,0.002562913,1.365,1.77e-6
PGAP6,ENSG00000129925,1.278153075,1.13e-15,1.447735448,0.003424292,1.363,1.13e-15
NFE2L3,ENSG00000050344,1.087086456,2.55e-7,1.63644633,0.001033125,1.362,2.55e-7
MTHFD2,ENSG00000065911,1.486699521,3.42e-19,1.22406597,0.002352524,1.355,3.42e-19
ACOT7,ENSG00000097021,1.460635197,1.98e-12,1.247570819,0.04098237,1.354,1.98e-12
BCL9,ENSG00000116128,1.504736218,4.0699999999999995e-30,1.190821934,0.007437156,1.348,4.0699999999999995e-30
MAGED1,ENSG00000179222,1.023368177,7.52e-13,1.660207062,0.003457307,1.342,7.52e-13
TUBG1,ENSG00000131462,1.049785785,4.76e-12,1.612475726,0.001100154,1.331,4.76e-12
CTSD,ENSG00000117984,1.161992969,3.07e-6,1.495254136,0.008487316,1.329,3.07e-6
PSMB9,ENSG00000240065,1.050143015,3.98e-5,1.575797068,0.004632659,1.313,3.98e-5
IER3,ENSG00000137331,1.081952923,8.61e-5,1.543115462,0.049068405,1.313,8.61e-5
GLIS2,ENSG00000126603,1.203284033,3.69e-11,1.41611508,0.023925498,1.31,3.69e-11
NACC1,ENSG00000160877,1.53526963,3.42e-22,1.074285029,0.012984264,1.305,3.42e-22
MXD3,ENSG00000213347,1.437626321,1.82e-9,1.170302132,0.021220515,1.304,1.82e-9
DBF4,ENSG00000006634,1.201409362,1.76e-16,1.405546454,0.003793452,1.303,1.76e-16
WDR76,ENSG00000092470,1.29022686,1.31e-14,1.311649187,0.004358544,1.301,1.31e-14
PSME2,ENSG00000100911,1.537548658,2.81e-14,1.063319771,0.001407525,1.3,2.81e-14
TCF19,ENSG00000137310,1.293289201,4.19e-15,1.29072508,0.035679056,1.292,4.19e-15
HELZ2,ENSG00000130589,1.35422665,2.2e-9,1.225679353,0.00178972,1.29,2.2e-9
BCL3,ENSG00000069399,1.056174636,5.32e-9,1.519854213,0.008927993,1.288,5.32e-9
BRCA1,ENSG00000012048,1.072176857,3.18e-9,1.486913481,0.002721444,1.28,3.18e-9
CDK5R1,ENSG00000176749,1.391876879,4.42e-8,1.168748396,0.005181264,1.28,4.42e-8
SMC4,ENSG00000113810,1.469392666,2.67e-14,1.087040343,0.030560888,1.278,2.67e-14
HGH1,ENSG00000235173,1.304882152,8.88e-16,1.247364245,3.0175e-4,1.276,8.88e-16
PDIA4,ENSG00000155660,1.178024535,2.59e-17,1.368187434,0.044366816,1.273,2.59e-17
TNFRSF4,ENSG00000186827,1.090473873,7.41e-6,1.455380314,0.044366816,1.273,7.41e-6
ABRACL,ENSG00000146386,1.297131394,7.81e-10,1.240631473,0.038339714,1.269,7.81e-10
ADAMTS7,ENSG00000136378,1.188103122,5.8e-7,1.34896474,0.023481696,1.269,5.8e-7
BRCA2,ENSG00000139618,1.371003394,7.55e-11,1.165556158,0.042398964,1.268,7.55e-11
UBE2L6,ENSG00000156587,1.418966216,2.87e-9,1.114196908,0.013983273,1.267,2.87e-9
PARP1,ENSG00000143799,1.232552048,1.19e-18,1.300341571,1.86e-5,1.266,1.19e-18
CKAP2,ENSG00000136108,1.13874624,1.76e-12,1.383385164,0.00176856,1.261,1.76e-12
SFRP2,ENSG00000145423,1.326800376,1.56e-5,1.182702764,0.009004365,1.255,1.56e-5
FLAD1,ENSG00000160688,1.253176095,1.27e-26,1.252117269,6.06136e-4,1.253,1.27e-26
RCC1,ENSG00000180198,1.394789825,8.53e-13,1.097793222,0.001951383,1.246,8.53e-13
SCO2,ENSG00000284194,1.279121843,0.004156404,1.1972908310000001,0.028286353,1.238,0.004156404
NUDT1,ENSG00000106268,1.079571546,8.08e-11,1.379456923,0.027402101,1.23,8.08e-11
RAP2C,ENSG00000123728,1.27044169,2.02e-14,1.177222279,8.84379e-4,1.224,2.02e-14
FANCD2,ENSG00000144554,1.307236433,7.03e-13,1.138190876,9.35662e-4,1.223,7.03e-13
CLTC,ENSG00000141367,1.37775243,4.6e-9,1.067357091,0.032296865,1.223,4.6e-9
ATP6AP1,ENSG00000071553,1.323347953,7.05e-24,1.115866089,0.001380915,1.22,7.05e-24
CENPL,ENSG00000120334,1.295478487,2.5600000000000003e-22,1.142460326,0.010783643,1.219,2.5600000000000003e-22
PPT1,ENSG00000131238,1.061556916,3.68e-8,1.366306739,0.002375902,1.214,3.68e-8
SLC20A1,ENSG00000144136,1.173045934,1.2199999999999999e-23,1.24038502,0.003842994,1.207,1.2199999999999999e-23
BOP1,ENSG00000261236,1.100274987,6.02e-8,1.3122617,0.03595082,1.206,6.02e-8
SDSL,ENSG00000139410,1.178146594,4.64e-8,1.22528962,0.047461581,1.202,4.64e-8
CFL1,ENSG00000172757,1.141575872,4.16e-18,1.257037186,0.015600216,1.199,4.16e-18
LRWD1,ENSG00000161036,1.158335522,1.37e-14,1.24011508,0.015910435,1.199,1.37e-14
TDRKH,ENSG00000182134,1.083319421,1.07e-20,1.312960069,1.75e-5,1.198,1.07e-20
CENPO,ENSG00000138092,1.120499327,1.1799999999999999e-23,1.267276874,0.004863189,1.194,1.1799999999999999e-23
SULF2,ENSG00000196562,1.185816138,5.84e-11,1.200503835,6.07776e-4,1.193,5.84e-11
RMI1,ENSG00000178966,1.345065423,3.48e-23,1.038089606,0.001268908,1.192,3.48e-23
ASPHD2,ENSG00000128203,1.095208916,5.86e-8,1.27588534,0.005047713,1.186,5.86e-8
PARP10,ENSG00000178685,1.270282969,1.63e-7,1.097826989,0.020889489,1.184,1.63e-7
ISG20,ENSG00000172183,1.092117633,3.82e-6,1.274639381,0.005998056,1.183,3.82e-6
GK,ENSG00000198814,1.126348818,4.29e-13,1.231839243,1.16544e-4,1.179,4.29e-13
KNTC1,ENSG00000184445,1.122986305,1.68e-17,1.232534683,4.87446e-4,1.178,1.68e-17
ODF2,ENSG00000136811,1.283411292,3.0000000000000003e-21,1.067810882,6.68e-6,1.176,3.0000000000000003e-21
INTS7,ENSG00000143493,1.334648277,3.29e-22,1.002739402,0.005106187,1.169,3.29e-22
SLC35A2,ENSG00000102100,1.307208913,3.97e-33,1.029244736,0.013194476,1.168,3.97e-33
ENAH,ENSG00000154380,1.043539458,9.4e-14,1.283581839,0.005636877,1.164,9.4e-14
CTPS1,ENSG00000171793,1.139855102,1e-12,1.185971995,0.031657362,1.163,1e-12
ENTPD7,ENSG00000198018,1.136004764,3.94e-15,1.187658974,4.61e-6,1.162,3.94e-15
SMIM29,ENSG00000186577,1.218623036,4.35e-13,1.104145034,0.02401229,1.161,4.35e-13
IFIH1,ENSG00000115267,1.065550258,1.6e-5,1.24580013,0.008798645,1.156,1.6e-5
COL8A2,ENSG00000171812,1.068071665,4.95e-5,1.239606106,0.013225253,1.154,4.95e-5
ABCC5,ENSG00000114770,1.132206054,3.31e-10,1.171952905,7.0485e-4,1.152,3.31e-10
PGP,ENSG00000184207,1.143594001,9.08e-8,1.14573823,0.00277033,1.145,9.08e-8
ARID3A,ENSG00000116017,1.005196859,3.67e-8,1.276496147,0.036184829,1.141,3.67e-8
SAMD1,ENSG00000141858,1.272801478,5.04e-17,1.003939934,0.02089579,1.138,5.04e-17
SLC27A4,ENSG00000167114,1.131560275,6.1e-13,1.143805285,1.43672e-4,1.138,6.1e-13
TFRC,ENSG00000072274,1.047553276,1.29e-5,1.218044753,3.32661e-4,1.133,1.29e-5
BLNK,ENSG00000095585,1.126830524,1.48e-7,1.134336296,0.004863189,1.131,1.48e-7
BAX,ENSG00000087088,1.129440911,9.21e-15,1.128937819,0.017057132,1.129,9.21e-15
ZNF668,ENSG00000167394,1.045051777,5.17e-15,1.210994012,8.05731e-4,1.128,5.17e-15
SP110,ENSG00000135899,1.035766453,9.08e-7,1.217565887,0.004005575,1.127,9.08e-7
DNMT1,ENSG00000130816,1.086966085,9.91e-17,1.164680406,0.015448443,1.126,9.91e-17
BAK1,ENSG00000030110,1.15089197,1.71e-11,1.097697035,0.017708104,1.124,1.71e-11
SEPHS2,ENSG00000179918,1.220840529,2.93e-19,1.024081537,0.001173187,1.122,2.93e-19
MICALL2,ENSG00000164877,1.023267235,3.37e-5,1.219908772,0.043140225,1.122,3.37e-5
SEMA3F,ENSG00000001617,1.132399522,1.73e-12,1.10565167,0.002467656,1.119,1.73e-12
PASK,ENSG00000115687,1.204582041,1.27e-10,1.02576281,0.047461581,1.115,1.27e-10
HYAL3,ENSG00000186792,1.15880264,1.38e-8,1.070123389,0.037718534,1.114,1.38e-8
MCM6,ENSG00000076003,1.124331854,9.15e-13,1.100266768,3.60823e-4,1.112,9.15e-13
FANCB,ENSG00000181544,1.003938504,5.01e-7,1.210251128,0.001897842,1.107,5.01e-7
SYNGR2,ENSG00000108639,1.006307174,1.94e-11,1.199426995,0.004815774,1.103,1.94e-11
SLC25A39,ENSG00000013306,1.037367189,2.48e-13,1.155440366,0.039543814,1.096,2.48e-13
LBX2-AS1,ENSG00000257702,1.185967763,5.37e-8,1.006507051,0.026723626,1.096,5.37e-8
TMSB10,ENSG00000034510,1.035202016,3.11e-8,1.154324305,0.031450858,1.095,3.11e-8
LPAR2,ENSG00000064547,1.007345374,7.13e-7,1.138508473,9.10613e-4,1.073,7.13e-7
PCK2,ENSG00000100889,1.072785778,2.6e-8,1.066477448,0.009005792,1.07,2.6e-8
TOR3A,ENSG00000186283,1.021871807,5.78e-18,1.100991855,3.77816e-4,1.061,5.78e-18
RCC2,ENSG00000179051,1.102321759,7.36e-16,1.004751659,0.023210348,1.054,7.36e-16
ADAR,ENSG00000160710,1.072417298,3.36e-16,1.022412771,0.002875082,1.047,3.36e-16
CD276,ENSG00000103855,1.0477354,5.15e-16,1.0387505,0.02815604,1.043,5.15e-16
POLD4,ENSG00000175482,1.010843162,2.35e-7,1.031652373,0.031235217,1.021,2.35e-7
